original_class,crop,binary_class,label
Pepper__bell___Bacterial_spot,Pepper,Diseased,1
Pepper__bell___healthy,Pepper,Healthy,0
Potato___Early_blight,Potato,Diseased,1
Potato___Late_blight,Potato,Diseased,1
Potato___healthy,Potato,Healthy,0
Tomato_Bacterial_spot,Tomato,Diseased,1
Tomato_Early_blight,Tomato,Diseased,1
Tomato_Late_blight,Tomato,Diseased,1
Tomato_Leaf_Mold,Tomato,Diseased,1
Tomato_Septoria_leaf_spot,Tomato,Diseased,1
Tomato_Spider_mites_Two_spotted_spider_mite,Tomato,Diseased,1
Tomato__Target_Spot,Tomato,Diseased,1
Tomato__Tomato_YellowLeaf__Curl_Virus,Tomato,Diseased,1
Tomato__Tomato_mosaic_virus,Tomato,Diseased,1
Tomato_healthy,Tomato,Healthy,0
